wp_product_id,wp_product_name,proposed_slug,source_of_slug,confidence,status,notes
7410,"Supply Chain As Strategic Asset - The Key to Reaching Business Goals",supply-chain-as-strategic-asset-the-key-to-reaching-business-goals,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7412,"Single Point of Failure - The Ten Essential Laws of Supply Chain Risk Management",single-point-of-failure-the-ten-essential-laws-of-supply-chain-risk-management,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7414,"How To Anaylze And Negotiate Warranties For Goods And Services",how-to-anaylze-and-negotiate-warranties-for-goods-and-services,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7418,"Sale! Supply Chain Management Best Practices Third Edition",sale-supply-chain-management-best-practices-third-edition,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7769,"Chartered Supply Chain Artiﬁcial Intelligence Analyst (CSAI)®",american-certified-supply-chain-artificial-intelligence-analyst-acsai,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
7774,"American Certified Supply Chain Technology Managers (CSCT)®",american-certified-supply-chain-technology-managers-acsct,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
11905,"Chartered Healthcare Procurement Solutions Professional (CHPP)®",chartered-healthcare-procurement-solutions-professional-chpp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
12326,"Become a Fellow Member",become-a-fellow-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
17649,"ACSCT® Preparation Workshop and Exam Fee",acsct-preparation-workshop-and-exam-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
17662,"Chartered Supply Chain Artiﬁcial Intelligence Analyst (CSAI)®",acsai-preparation-workshop-and-exam-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
17818,"ACPP® Preparation Workshop and Exam Fee",acpp-preparation-workshop-and-exam-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
17888,"Chartered Procurement Manager (CPM)®",acpm-preparation-workshop-and-exam-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
17935,"ACSCP® Preparation Workshop and Exam Fee",acscp-preparation-workshop-and-exam-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
17943,"ACSCM® Preparation Workshop and Exam Fee",acscm-preparation-workshop-and-exam-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19447,"Professional Membership Fee",professional-membership-fee,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19453,"CHARTERED PROFESSIONAL MEMBERSHIP",chartered-professional-membership,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19726,"AAPSCM® Training Virtual - American Certified Procurement Professional (ACPP)®",aapscm-training-virtual-american-certified-procurement-professional-acpp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19733,"AAPSCM® Training Virtual - Chartered Procurement Manager (CPM)®",aapscm-training-virtual-chartered-procurement-manager-cpm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19741,"AAPSCM® Training Virtual -American Certified Supply-Chain Professional (ACSCP)®",aapscm-training-virtual-american-certified-supply-chain-professional-acscp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19747,"AAPSCM® Training Virtual - Chartered Supply Chain Manager (CSCM)®",aapscm-training-virtual-chartered-supply-chain-manager-cscm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19753,"AAPSCM® Training Virtual - American Certified Tourism Professional (ACTP)®",aapscm-training-virtual-american-certified-tourism-professional-actp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19762,"AAPSCM® Training Virtual -American Certified Digital Procurement & Analytics Specialist (AC-DPA)®",aapscm-training-virtual-american-certified-digital-procurement-analytics-specialist-acdpas,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19777,"AAPSCM® Training Virtual - Chartered Supply Chain Technology Manager(CSCT)®",aapscm-training-virtual-chartered-supply-chain-technology-managercsct,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19802,"AAPSCM® Training Virtual -American Certified Sustainable Procurement & Ethical Sourcing Professional (AC-SGPES)®",american-certified-sustainable-procurement-ethical-sourcing-professional-ac-spesp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19817,"AAPSCM® Training Virtual - American Certified Procurement Risk Management Specialist (AC-PRM)®",american-certified-procurement-risk-management-specialist-ac-prms,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19826,"AAPSCM® Training Virtual - American Certified Strategic Procurement & Supplier Relationship Specialist (AC-SPR)®",american-certified-strategic-procurement-supplier-relationship-specialist-ac-sprs,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19835,"AAPSCM® Training Virtual - Chartered Supply Chain Artiﬁcial Intelligence Analyst (CSAI)®",aapscm-training-virtual-chartered-supply-chain-arti%ef%ac%81cial-intelligence-analyst-csai,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
19844,"AAPSCM® Training Virtual - Chartered Healthcare Procurement Solutions Professional (CHPP)®",aapscm-training-virtual-chartered-healthcare-procurement-solutions-professional-chpp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
19861,"Join A Charter",join-a-charter,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20279,"American Certified Procurement Professional (ACPP)® Authorized On-demand AAPSCM® Exam Prep - (Member)",american-certified-procurement-professional-acpp-authorized-on-demand-aapscm-exam-prep,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
20288,"American Certified Procurement Professional (ACPP)® Authorized On-demand AAPSCM® Exam Prep - (Non-Members)",american-certified-procurement-professional-acpp-authorized-on-demand-aapscm-exam-prep-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20299,"Chartered Procurement Manager (CPM)® Authorized On-demand AAPSCM® Exam Prep- (Members)",chartered-procurement-manager-cpm-authorized-on-demand-aapscm-exam-prep,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20304,"Chartered Procurement Manager (CPM)® Authorized On-demand AAPSCM® Exam Prep - (Non-Members)",chartered-procurement-manager-cpm-authorized-on-demand-aapscm-exam-prep-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20309,"American Certified Supply Chain Professional (ACSCP)® Authorized On-demand and Self-Paced Exam Prep - (Members)",american-certified-supply-chain-professional-acscp-authorized-on-demand-and-self-paced-exam-prep,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20320,"American Certified Supply Chain Professional (ACSCP)® Authorized On-demand and Self-Paced Exam Prep - (Non-Members)",american-certified-supply-chain-professional-acscp-authorized-on-demand-and-self-paced-exam-prep-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20325,"Chartered Supply Chain Manager (CSCM)® Authorized On-demand Self-Paced Exam Prep - (Members)",chartered-supply-chain-manager-cscm-authorized-on-demand-self-paced-exam-prep,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20333,"Chartered Supply Chain Manager (CSCM)® Authorized On-demand Self-Paced Exam Prep - (Non-Members)",chartered-supply-chain-manager-cscm-authorized-on-demand-self-paced-exam-prep-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20338,"American Certified Tourism Professional (ACTP)® Authorized Self-Paced On-demand - (Members)",american-certified-tourism-professional-actp-authorized-self-paced-on-demand,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20346,"American Certified Tourism Professional (ACTP)® Authorized Self-Paced On-demand - (Non-Members)",american-certified-tourism-professional-actp-authorized-self-paced-on-demand-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20377,"Chartered Supply Chain Artiﬁcial Intelligence Analyst (CSAI)® Authorized On-demand Self-Paced Exam Prep - (Members)",chartered-supply-chain-arti%ef%ac%81cial-intelligence-analyst-csai-authorized-on-demand-self-paced-exam-prep,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20383,"Chartered Supply Chain Artiﬁcial Intelligence Analyst (CSAI)® Authorized On-demand Self-Paced Exam Prep - (Non-Members)",chartered-supply-chain-arti%ef%ac%81cial-intelligence-analyst-csai-authorized-on-demand-self-paced-exam-prep-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20436,"Chartered Supply Chain Technology Managers (CSCT)® Authorized On-demand Self-Paced Exam Prep -(Members)",chartered-supply-chain-technology-managers-csct-authorized-on-demand-self-paced-exam-prep,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20447,"Chartered Supply Chain Technology Managers (CSCT)® Authorized On-demand Self-Paced Exam Prep - (Non-Members)",chartered-supply-chain-technology-managers-csct-authorized-on-demand-self-paced-exam-prep-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20463,"Chartered Healthcare Procurement Solutions Professional (CHPP)®- (Members)",chartered-healthcare-procurement-solutions-professional-chpp-memeber,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
20474,"Chartered Healthcare Procurement Solutions Professional (CHPP)®- (Non-Members)",chartered-healthcare-procurement-solutions-professional-chpp-non-member,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
22195,"American Certified Digital Procurement & Analytics Specialist (AC-DPAS)®",american-certified-digital-procurement-analytics-specialist-ac-dpas,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22217,"American Certified Sustainable Procurement & Ethical Sourcing Professional (AC-SPESP)®",american-certified-sustainable-procurement-ethical-sourcing-professional,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22256,"American Certified Procurement Risk Management Specialist (AC-PRMS)",,,low,needs_review,"No existing product slug source found for this WooCommerce export row; requires manual SEO review before import."
22281,"American Certified Strategic Procurement & Supplier Relationship Specialist (AC-SPRS)",,,low,needs_review,"No existing product slug source found for this WooCommerce export row; requires manual SEO review before import."
22298,"Chartered Strategic Procurement & Supplier Relationship Specialist (CSP-SRM)",chartered-strategic-procurement-supplier-relationship-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22300,"American Certified IT Procurement & Digital Transformation Specialist (AC-IPDTS)",american-certified-it-procurement-digital-transformation-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22302,"American Certified Public Sector Procurement & Compliance Specialist (AC-PSPCS)",american-certified-public-sector-procurement-compliance-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22306,"American Certified Global Procurement & Cross-Border Supply Specialist (AC-GPCSS)",american-certified-global-procurement-cross-border-supply-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22312,"American Certified Procurement Data Science & AI Specialist (AC-PDSS)",american-certified-procurement-data-science-ai-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22318,"American Certified Procurement Leadership & Change Management Specialist (AC-PLCMS)",american-certified-procurement-leadership-change-management-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22325,"American Certified Procurement Automation & RPA Specialist (AC-PARAS)",american-certified-procurement-automation-rpa-specialist,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22970,"AAPSCM® Training Virtual - American Certified IT Procurement & Digital Transformation Specialist (ACIPDT)®",american-certified-it-procurement-digital-transformation-specialist-ac-ipdts,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
22989,"AAPSCM® Training Virtual -  American Certified Public Sector Procurement & Compliance Specialist (AC-PSPC)®",american-certified-public-sector-procurement-compliance-specialist-ac-pspcs,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23002,"AAPSCM® Training Virtual -  American Certified Global Procurement & Cross-Border Supply Professional (AC-GPCS)®",american-certified-global-procurement-cross-border-supply-specialist-ac-gpcss,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23153,"AAPSCM® Training Virtual – American Certified Procurement Leadership & Change Management Specialist (AC-PLCM)®",american-certified-procurement-leadership-change-management-specialist-ac-plcms,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23349,"AAPSCM® Training Virtual – Chartered Strategic Procurement & Supplier Relationship Specialist (CSP-SRM)®",chartered-strategic-procurement-supplier-relationship-specialist-csp-srm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23387,"AAPSCM® Training Virtual – American Certified Procurement Data Science & AI Specialist (AC-PDS)®",american-certified-procurement-data-science-ai-specialist-ac-pdss,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23413,"AAPSCM® Training Virtual – American Certified Procurement Automation & RPA Specialist (AC-PARP)®",american-certified-procurement-automation-rpa-specialist-ac-paras,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23949,"American Certified Supply Chain Cybersecurity Professional (AC-SCCP)",american-certified-supply-chain-cybersecurity-professional-ac-sccp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23951,"Chartered Advanced Supply Chain Cybersecurity Manager (CA-SCCM)",chartered-advanced-supply-chain-cybersecurity-manager-ca-sccm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23953,"Chartered AI-Driven Sustainable Procurement Manager (CA-ISPM)",chartered-ai-driven-sustainable-procurement-manager-ca-ispm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23955,"American Certified Blockchain for Supply Chain Professional (AC-BSCP)",american-certified-blockchain-for-supply-chain-professional-ac-bscp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23957,"Chartered Sustainable Supply Chain Manager (CSSCM)",chartered-sustainable-supply-chain-manager-csscm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23959,"American Certified Digital Supply Chain Integration Professional (AC-DSCIP)",american-certified-digital-supply-chain-integration-professional-ac-dscip,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
23961,"American Certified Global Supply Chain Risk and Resilience Professional(AC- GSRP)",american-certified-global-supply-chain-risk-and-resilience-professionalac-gsrp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24034,"AAPSCM® Training Virtual -  American Certified Supply Chain Cybersecurity Professional (AC-SCCP)®",aapscm-training-virtual-american-certified-supply-chain-cybersecurity-professional-ac-sccp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24041,"AAPSCM® Training Virtual -  Chartered Advanced Supply Chain Cybersecurity Manager (CA-SCCM)®",aapscm-training-virtual-chartered-advanced-supply-chain-cybersecurity-manager-ca-sccm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24047,"AAPSCM® Training Virtual -  Chartered AI-Driven Sustainable Procurement Manager (CAI-SPM)®",aapscm-training-virtual-chartered-ai-driven-sustainable-procurement-manager-ca-ispm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24053,"AAPSCM® Training Virtual -  American Certified Blockchain for Supply Chain Professional (AC-BSCP)",aapscm-training-virtual-american-certified-blockchain-for-supply-chain-professional-ac-bscp,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24059,"AAPSCM® Training Virtual -  Chartered Sustainable Supply Chain Manager (CSSCM)®",aapscm-training-virtual-chartered-sustainable-supply-chain-manager-csscm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24065,"AAPSCM® Training Virtual - American Certified Digital Supply Chain Integration Professional (AC-DSCI)®",aapscm-training-virtual-american-certified-digital-supply-chain-integration-professional-ac-dscip,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24071,"AAPSCM® Training Virtual - Chartered Sustainable Culinary Tourism Manager (CSCTM)®",aapscm-training-virtual-chartered-sustainable-culinary-tourism-manager-csctm,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,approved,"Auto-approved by final controlled product review; no suspicious slug signals detected."
24374,"American Certified Digital Procurement & Analytics Specialist (AC-DPAS)® Authorized On-demand Self-Paced Exam Prep - (Non-Members)",american-certified-digital-procurement-analytics-specialist-ac-dpas-authorized-on-demand-self-paced-exam-prep-non-members,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
24376,"American Certified Digital Procurement & Analytics Specialist (AC-DPAS)® Authorized On-demand Self-Paced Exam Prep - (Members)",american-certified-digital-procurement-analytics-specialist-ac-dpas-authorized-on-demand-self-paced-exam-prep-members,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
24384,"American Certified Sustainable Procurement & Ethical Sourcing Professional (AC-SPESP)® Authorized On-demand Self-Paced Exam Prep - (Members)",american-certified-sustainable-procurement-ethical-sourcing-professional-ac-spesp-authorized-on-demand-self-paced-exam-prep-members,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
24390,"American Certified Sustainable Procurement & Ethical Sourcing Professional (AC-SPESP)® Authorized On-demand Self-Paced Exam Prep - (Non-Members)",american-certified-sustainable-procurement-ethical-sourcing-professional-ac-spesp-authorized-on-demand-self-paced-exam-prep-non-members,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
24396,"American Certified Procurement Risk Management Specialist (AC-PRMS)® Authorized On-demand Self-Paced Exam Prep - (Members)",american-certified-procurement-risk-management-specialist-ac-prms-authorized-on-demand-self-paced-exam-prep-members,database/docs/wp-commerce-mapping/products.csv:wp_slug,medium,needs_review,"Existing WordPress product slug candidate only; not confirmed as Laravel canonical slug."
