"wp_post_id","wp_slug","audience","wp_price_usd","laravel_product_id","laravel_membership_tier_id","laravel_price_usd","status","notes"
"24376","american-certified-digital-procurement-analytics-specialist-ac-dpas-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24384","american-certified-sustainable-procurement-ethical-sourcing-professional-ac-spesp-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24390","american-certified-sustainable-procurement-ethical-sourcing-professional-ac-spesp-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24396","american-certified-procurement-risk-management-specialist-ac-prms-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24401","american-certified-procurement-risk-management-specialist-ac-prms-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24413","american-certified-strategic-procurement-supplier-relationship-specialist-ac-sprs-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24416","american-certified-strategic-procurement-supplier-relationship-specialist-ac-sprs-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24433","chartered-strategic-procurement-supplier-relationship-specialist-csp-srm-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24441","chartered-strategic-procurement-supplier-relationship-specialist-csp-srm-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24447","american-certified-it-procurement-digital-transformation-specialist-ac-ipdts-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24449","american-certified-it-procurement-digital-transformation-specialist-ac-ipdts-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24455","american-certified-public-sector-procurement-compliance-specialist-ac-pspcs-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24460","american-certified-public-sector-procurement-compliance-specialist-ac-pspcs-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24468","american-certified-global-procurement-cross-border-supply-specialist-ac-gpcss-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24470","american-certified-global-procurement-cross-border-supply-specialist-ac-gpcss-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24481","american-certified-procurement-data-science-ai-specialist-ac-pdss-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24489","american-certified-procurement-data-science-ai-specialist-ac-pdss-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24494","american-certified-procurement-leadership-change-management-specialist-ac-plcms-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24500","american-certified-procurement-leadership-change-management-specialist-ac-plcms-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24505","american-certified-procurement-automation-rpa-specialist-ac-paras-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24508","american-certified-procurement-automation-rpa-specialist-ac-paras-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24513","american-certified-supply-chain-cybersecurity-professional-ac-sccp-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24515","american-certified-supply-chain-cybersecurity-professional-ac-sccp-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24521","chartered-advanced-supply-chain-cybersecurity-manager-ca-sccm-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24524","chartered-advanced-supply-chain-cybersecurity-manager-ca-sccm-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24532","chartered-ai-driven-sustainable-procurement-manager-ca-ispm-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24535","chartered-ai-driven-sustainable-procurement-manager-ca-ispm-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24540","american-certified-blockchain-for-supply-chain-professional-ac-bscp-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24543","american-certified-blockchain-for-supply-chain-professional-ac-bscp-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24548","chartered-sustainable-supply-chain-manager-csscm-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24551","chartered-sustainable-supply-chain-manager-csscm-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24556","american-certified-digital-supply-chain-integration-professional-ac-dscip-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24565","american-certified-digital-supply-chain-integration-professional-ac-dscip-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24572","american-certified-global-supply-chain-risk-and-resilience-professionalac-gsrp-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"24577","american-certified-global-supply-chain-risk-and-resilience-professionalac-gsrp-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"27145","chartered-sustainable-culinary-tourism-manager-csctm-authorized-on-demand-self-paced-exam-prep-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"27161","chartered-sustainable-culinary-tourism-manager-csctm-authorized-on-demand-self-paced-exam-prep-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34003","chartered-tourism-manager-ctm-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34005","chartered-tourism-manager-ctm-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34614","chartered-e-commerce-data-analytics-and-ai-professional-ced-ai-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34616","chartered-e-commerce-data-analytics-and-ai-professional-ced-ai-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34769","chartered-global-cross-border-e-commerce-manager-cgcbe-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34771","chartered-global-cross-border-e-commerce-manager-cgcbe-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34924","american-certified-sustainable-and-circular-supply-chain-professional-ac-cscsp-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"34926","american-certified-sustainable-and-circular-supply-chain-professional-ac-cscsp-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"35072","american-certified-supply-chain-digital-transformation-manager-ac-scdtm-members","member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"35074","american-certified-supply-chain-digital-transformation-manager-ac-scdtm-non-members","non_member","","","","","wp_only","Audience inferred from title suffix. Confirm exact price + Laravel parent product slug."
"4233","corporate-membership","non_member","3000.00","","","3000.00","matched","Implemented 2026-04-19. Seeded as ProductPrice on slug corporate-membership with membership_tier_id=NULL (public/non-member price)."
"35332","professional-fellow-membership","non_member","1200.00","","","","wp_only","No Laravel tier match."
"35341","academic-fellow-membership","non_member","950.00","","","","wp_only","No Laravel tier match."
"35368","corporate-fellow-membership","non_member","2500.00","","","","wp_only","No Laravel tier match."
"35392","emerging-leader-fellow-membership","non_member","850.00","","","","wp_only","No Laravel tier match."
"35419","international-fellow-membership","non_member","1499.99","","","","matched_price_diff","Tier 'international-member' exists in Laravel; price not yet seeded."
"35458","grand-fellow-membership","non_member","1999.99","","","","wp_only","No Laravel tier match."
"4234","professional-membership-fee-2","non_member","150.00","","","150.00","matched","Implemented 2026-04-19. Seeded as ProductPrice on slug professional-membership with membership_tier_id=NULL (public/non-member price). $10 application fee NOT included — see OQ#13."
"37207","annual-membership-renewal-fee","non_member","160.00","","","160.00","matched","Implemented 2026-04-19. Seeded as ProductPrice on slug professional-membership-renewal with membership_tier_id=NULL (public/non-member price)."
